908941,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;736632-Product d-700.5;535320-Product c-70.5;535320-Product c-70.5;,961.5,PENDING
75392,477335,Akash Mandal,akashmandal@gmail.com,736632-Product d-700.5;,700.5,CANCELED
1,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;713756-Product B-80.5;,200.5,SHIPPED
3,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;713756-Product B-80.5;,200.5,SHIPPED
254080,477335,Akash Mandal,akashmandal@gmail.com,736632-Product d-700.5;,700.5,SHIPPED
4,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;713756-Product B-80.5;,200.5,SHIPPED
27717,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;535320-Product c-70.5;,190.5,SHIPPED
5,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;713756-Product B-80.5;,200.5,CANCELED
6,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;713756-Product B-80.5;,200.5,CANCELED
759491,447244,Abc,abc@email.com,535320-Product c-70.5;454789-Updated Product A-120.0;,190.5,SHIPPED
12363,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;195873-IPhone-150000.0;,150120.0,SHIPPED
196303,447244,Abc,abc@email.com,535320-Product c-70.5;454789-Updated Product A-120.0;,190.5,SHIPPED
190991,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;736632-Product d-700.5;,820.5,SHIPPED
77713,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;736632-Product d-700.5;,820.5,SHIPPED
699739,447244,Abc,abc@email.com,535320-Product c-70.5;454789-Updated Product A-120.0;,190.5,SHIPPED
252500,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;195873-IPhone-150000.0;,150120.0,SHIPPED
480415,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;195873-IPhone-150000.0;,150120.0,SHIPPED
424541,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;535320-Product c-70.5;,190.5,SHIPPED
572840,477335,Akash Mandal,akashmandal@gmail.com,736632-Product d-700.5;,700.5,SHIPPED
311525,447244,Abc,abc@email.com,535320-Product c-70.5;454789-Updated Product A-120.0;,190.5,SHIPPED
840749,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;535320-Product c-70.5;,190.5,SHIPPED
15651,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;195873-IPhone-150000.0;,150120.0,SHIPPED
252710,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;736632-Product d-700.5;,820.5,SHIPPED
769505,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;195873-IPhone-150000.0;,150120.0,SHIPPED
725030,481063,Abcd,abcd@email.com,454789-Updated Product A-120.0;736632-Product d-700.5;,820.5,SHIPPED
138806,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;535320-Product c-70.5;,190.5,SHIPPED
157300,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;535320-Product c-70.5;,190.5,SHIPPED
366770,477335,Akash Mandal,akashmandal@gmail.com,4547891-Updated Product A-120.0;195873-IPhone-150000.0;,150120.0,SHIPPED
377596,447244,Abc,abc@email.com,535320-Product c-70.5;454789-Updated Product A-120.0;,190.5,SHIPPED
856562,477335,Akash Mandal,akashmandal@gmail.com,736632-Product d-700.5;,700.5,SHIPPED
681909,477335,Akash Mandal,akashmandal@gmail.com,736632-Product d-700.5;,700.5,SHIPPED
